MERHABA!
-------- day 0 --------
name, sellIn, quality
+3 Fotokopi, 10, 20
Eski Kaşar Peyniri, 2, 0
Gemlik zeytini, 5, 7
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 15, 20
Bulutsuzluk özlemi konser bileti, 10, 49
Bulutsuzluk özlemi konser bileti, 5, 49
Çatapat, 3, 6

-------- day 1 --------
name, sellIn, quality
+3 Fotokopi, 9, 19
Eski Kaşar Peyniri, 1, 1
Gemlik zeytini, 4, 6
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 14, 21
Bulutsuzluk özlemi konser bileti, 9, 50
Bulutsuzluk özlemi konser bileti, 4, 50
Çatapat, 2, 5

-------- day 2 --------
name, sellIn, quality
+3 Fotokopi, 8, 18
Eski Kaşar Peyniri, 0, 2
Gemlik zeytini, 3, 5
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 13, 22
Bulutsuzluk özlemi konser bileti, 8, 50
Bulutsuzluk özlemi konser bileti, 3, 50
Çatapat, 1, 4

-------- day 3 --------
name, sellIn, quality
+3 Fotokopi, 7, 17
Eski Kaşar Peyniri, -1, 4
Gemlik zeytini, 2, 4
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 12, 23
Bulutsuzluk özlemi konser bileti, 7, 50
Bulutsuzluk özlemi konser bileti, 2, 50
Çatapat, 0, 3

-------- day 4 --------
name, sellIn, quality
+3 Fotokopi, 6, 16
Eski Kaşar Peyniri, -2, 6
Gemlik zeytini, 1, 3
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 11, 24
Bulutsuzluk özlemi konser bileti, 6, 50
Bulutsuzluk özlemi konser bileti, 1, 50
Çatapat, -1, 1

-------- day 5 --------
name, sellIn, quality
+3 Fotokopi, 5, 15
Eski Kaşar Peyniri, -3, 8
Gemlik zeytini, 0, 2
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 10, 25
Bulutsuzluk özlemi konser bileti, 5, 50
Bulutsuzluk özlemi konser bileti, 0, 50
Çatapat, -2, 0

-------- day 6 --------
name, sellIn, quality
+3 Fotokopi, 4, 14
Eski Kaşar Peyniri, -4, 10
Gemlik zeytini, -1, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 9, 27
Bulutsuzluk özlemi konser bileti, 4, 50
Bulutsuzluk özlemi konser bileti, -1, 0
Çatapat, -3, 0

-------- day 7 --------
name, sellIn, quality
+3 Fotokopi, 3, 13
Eski Kaşar Peyniri, -5, 12
Gemlik zeytini, -2, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 8, 29
Bulutsuzluk özlemi konser bileti, 3, 50
Bulutsuzluk özlemi konser bileti, -2, 0
Çatapat, -4, 0

-------- day 8 --------
name, sellIn, quality
+3 Fotokopi, 2, 12
Eski Kaşar Peyniri, -6, 14
Gemlik zeytini, -3, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
Bulutsuzluk özlemi konser bileti, 7, 31
Bulutsuzluk özlemi konser bileti, 2, 50
Bulutsuzluk özlemi konser bileti, -3, 0
Çatapat, -5, 0

-------- day 9 --------
name, sellIn, quality
+3 Fotokopi, 1, 11
Eski Kaşar Peyniri, -7, 16
Gemlik zeytini, -4, 0
Sebze meyve, 0, 80
Sebze meyve, -1, 80
